reviewCreatedVersion,score,content,thumbsUpCount,sentiment_polarity,sentiment_subjectivity,sentiment_analysis
3.92.36,5,Very usefull,0,0.2,0.3,Negative
3.92.36,3,I would like to add different categories and delete others to make it more personalized.,0,0.25,0.55,Positive
3.92.36,3,Could do with updating,0,0.0,0.0,Negative
3.92.36,5,Love the way this links with my my meter.,0,0.5,0.6,Positive
3.92.36,3,"Great interface and very user friendly. Unfortunately, it seems fairly outdated as very popular pumps that have been out for years are not supported. For example, I have the Medtronic 770g and the Accu-Chek Guide Link, neither of which are supported by the app.",1,0.20916666666666664,0.6972222222222223,Negative
3.92.36,5,After trying a couple time I got it right and realized how easy this was to pair to my device. Looking forward to keeping up and on top of my diabetes.🤗,0,0.4063492063492064,0.623015873015873,Positive
3.92.36,4,Great to follow the levels. The wifi pairing with sugar meters is very useful.,0,0.595,0.375,Positive
3.92.36,5,Easy to use,0,0.43333333333333335,0.8333333333333334,Positive
3.92.36,5,Challenging but successful! I am pleased.,0,0.6458333333333334,0.9833333333333334,Positive
3.92.36,5,This app is fantastic. I cant recommend it highly enough. It's making a difficult task much easier. Go for it.,0,0.02500000000000001,0.65,Negative
3.92.36,5,good,0,0.7,0.6000000000000001,Positive
,5,Nice app 👍👍,0,0.6,1.0,Positive
3.92.36,5,Handy,0,0.6,0.9,Positive
3.92.36,5,Good 👍🏾,0,0.7,0.6000000000000001,Positive
3.92.36,4,Only thing i would change is adding a buttom for that time of month.,0,0.0,1.0,Negative
3.92.36,5,"It is very good for me it tracks everything I need to know about my sugars! I've gotten my sugars down because of the app, thank you so much for it I do recommend it highly!",0,0.3111111111111111,0.4522222222222222,Positive
3.92.36,5,"Using the app along with my VA Apps and other supporting apps, including Apple's iHealth App, I have been able to establish trends and detailed plans for dietary, exercises and medical readings reviews that aide in my quest for better health and a prolonged life. During medical appointments, I share tge data collected by mySugr with my Primary Physician and Team Specialists relevant to areas of concern for my health. Each love the live colorful data and the PDF reports.",0,0.271780303030303,0.45,Positive
3.92.36,4,So far so good,0,0.39999999999999997,0.8,Positive
3.92.36,5,So far so good 👍🏼,0,0.39999999999999997,0.8,Positive
3.92.36,4,"Good app. Food types are meant to be generic, I think, but should have more choices. For example to say you ate vegetable beef soup you need to select vegetables, meat, grains and water separately.",0,0.39999999999999997,0.3666666666666667,Positive
,1,i hate the gamification. i'm not a child. i just want to track my data.,0,-0.8,0.9,Negative
3.92.36,5,Good,0,0.7,0.6000000000000001,Positive
3.92.36,3,Help needed with setting date and time,0,0.0,0.0,Negative
3.92.36,5,So much better app than before,0,0.5,0.5,Positive
3.92.36,5,Very Useful to Monitor. Our Blood Sugar Level,0,0.39,0.0,Positive
3.92.36,5,Nice,0,0.6,1.0,Positive
3.92.36,5,"This helps me keep track of weekly numbers, on up to monthly them my A1C.",0,0.0,0.0,Negative
3.92.36,5,"Easy to use in basic. 1 week using and I'm glad I have it. Meals, meds , miles glucose levels.",0,0.3111111111111111,0.6527777777777778,Positive
3.92.36,4,"Cannot input the adjustment of insulin as negative, when the actual glucose level is less than target, such that I cannot input the adjustment as minus so much units of insulin",0,-0.06111111111111111,0.22777777777777777,Negative
3.92.35,5,Easy to operate. The transferring of data is very easy.,0,0.49833333333333335,0.9166666666666667,Positive
3.92.36,5,Works as expected,0,-0.1,0.4,Negative
3.92.36,4,"Easy to hook up, looks usefull will give it a go and add more when I have done!",0,0.5291666666666667,0.6666666666666667,Positive
3.92.36,5,I love this app,0,0.5,0.6,Positive
,1,"This was a great app up until it was updated to a paid version to perform a simple calculation. Disgusted that you are now exploiting people with long term illnesses! This is a service that was free and Roche provided for free on their older meters. That fact that the older meters being made obsolete has obviously prompted a ""money grabbing"" exercise. I will be changing back to my old meter.",0,0.08825757575757576,0.49761904761904757,Negative
3.92.36,5,This is very good. I am grateful for the App. Good!,0,0.8925,0.6900000000000002,Positive
3.92.36,5,Awesome,0,1.0,1.0,Positive
3.92.36,5,Very good,0,0.9099999999999999,0.7800000000000001,Positive
3.92.36,5,Really good to have such a proactive app...,0,0.35,0.55,Positive
3.92.36,5,Great,0,0.8,0.75,Positive
3.92.36,5,Easy to use,0,0.43333333333333335,0.8333333333333334,Positive
3.92.36,5,"Good app, easy to use. Helpful to keep track.",0,0.5666666666666667,0.7166666666666668,Positive
3.92.36,5,Very useful and easy,0,0.4116666666666667,0.4166666666666667,Positive
3.92.34,5,Great device,0,0.8,0.75,Positive
3.92.36,5,Awesome app,0,1.0,1.0,Positive
3.92.36,5,"Very nice, and reliable. Thank you.",0,0.78,1.0,Positive
3.92.36,5,Excellent app keeps me well informed and is helping me manage my diabete,0,1.0,1.0,Positive
3.92.36,5,You better get serious about your diabetes management because I was spilling protein and blood in urine and in Stage 1 kidney damage territory with a 463 reading. The app connects via Blue Tooth to your phone from your meter. It automatically transfers your current reading to the app. It gives you points and if you take enough readings in a 21 day period it can estimate your A1C. It is fun and you want to check glc alot. Will also prepare Reports you can print to pdf. and send to your physician.,0,0.07777777777777778,0.39444444444444443,Negative
3.92.36,5,easy to set up,0,0.43333333333333335,0.8333333333333334,Positive
3.92.36,5,"I've been using this app since 2014. It's 8-7-22, and I still use it every day! It really helps me track my trends, up or down, and provides incentive to keep my numbers improving. The only things I don't use are the entries for carbs and ketones, as I have no idea how to do this. My Endocrinologist never mentions them, so I figure they must not be important in my case at this time.",0,0.1111111111111111,0.6222222222222222,Negative
3.92.36,5,Easy to use,0,0.43333333333333335,0.8333333333333334,Positive
3.92.36,5,Connected right away,0,0.2857142857142857,0.5357142857142857,Positive
,1,Rubbish,0,0.0,0.0,Negative
3.92.36,5,"So far so good, I was able to import a reading from my accu-check Guide. I'll come back and add more later.. I will ad Contour App is the worst at sending readings that's why I've changed meters",0,0.11428571428571425,0.5321428571428571,Negative
3.92.36,4,I like that the app syncs with the accu-check guide meter. The free version very basic but sufficient for most I suspect. The things I wish the free version would do is the ability to add notes and enter your lab values. I just can't justify the $50 per month for the subscription version. I don't need all those supplies and stuff but it may be a deal for some people.,2,0.325,0.565625,Positive
3.92.36,5,I like 👍,0,0.0,0.0,Negative
,5,Love the app,0,0.5,0.6,Positive
3.92.36,5,This is an outstanding app for tracking blood sugar,0,0.5,0.875,Positive
3.92.36,3,Ok so far.,0,0.3,0.75,Positive
3.92.36,5,Its a very useful apps n really helps to monitor your sugar lvls and few other things.,0,0.06625000000000002,0.16875,Negative
3.92.36,5,Love having the Bluetooth for transferring data from the meter. Also like the approximate A1c readings.,0,0.04999999999999999,0.6,Negative
3.92.36,5,Helps a lot with my carb counting,0,0.0,0.0,Negative
